Movie_name,Year_of_release,Certification,Duration,imdb_rating,Genre,Votes,Metascore
Hacks,2021– ,30 min,30 min,8.3,"Comedy, Drama","5,127",Not available
The Priest,I 2021,UA,140 min,6.6,"Horror, Mystery, Thriller","5,036",Not available
Maharani,2021– ,A,43 min,7.5,Drama,"4,985",Not available
 Rick and Morty,2013– ,16+,Not available,9.2,"Animation, Adventure, Comedy","4,901",Not available
 Broken But Beautiful,2018– ,18,Not available,9.5,"Drama, Romance","4,851",Not available
 Invincible,2021– ,18,44 min,8.6,"Animation, Action, Adventure","4,817",Not available
 The Walking Dead,2010–2022,18+,44 min,6.2,"Drama, Horror, Thriller","4,800",Not available
Flora & Ulysses,2021,PG,95 min,6.3,"Adventure, Comedy, Family","4,788",62
 Jujutsu Kaisen,2020– ,16,24 min,9.7,"Animation, Action, Adventure","4,780",Not available
 The Walking Dead,2010–2022,18+,42 min,7.3,"Drama, Horror, Thriller","4,752",Not available
 Broken But Beautiful,2018– ,18,Not available,9.6,"Drama, Romance","4,737",Not available
 Broken But Beautiful,2018– ,18,Not available,9.8,"Drama, Romance","4,720",Not available
 Broken But Beautiful,2018– ,18,Not available,9.8,"Drama, Romance","4,686",Not available
 Broken But Beautiful,2018– ,18,Not available,9.6,"Drama, Romance","4,673",Not available
Murder Among the Mormons,2021,16,160 min,7.0,"Documentary, Crime, History","4,650",Not available
 Broken But Beautiful,2018– ,18,Not available,9.5,"Drama, Romance","4,634",Not available
 Broken But Beautiful,2018– ,18,Not available,9.7,"Drama, Romance","4,630",Not available
 Broken But Beautiful,2018– ,18,Not available,9.6,"Drama, Romance","4,620",Not available
 Broken But Beautiful,2018– ,18,Not available,9.6,"Drama, Romance","4,620",Not available
The Legend of Hanuman,2021– ,PG,25 min,9.4,Animation,"4,609",Not available
 The Walking Dead,2010–2022,18+,48 min,7.5,"Drama, Horror, Thriller","4,578",Not available
 Invincible,2021– ,18,42 min,8.3,"Animation, Action, Adventure","4,527",Not available
50M2,2021– ,16,45 min,7.0,"Comedy, Drama, Thriller","4,500",Not available
Cidade Invisível,2021– ,16,60 min,7.4,"Crime, Drama, Fantasy","4,484",Not available
 Mare of Easttown,2021,18,57 min,9.4,"Crime, Drama, Mystery","4,459",Not available
Loco por ella,2021,18,102 min,6.6,"Comedy, Romance","4,451",Not available
Cruel Summer,2021– ,45 min,45 min,7.5,"Drama, Mystery, Thriller","4,448",Not available
 Cobra Kai,2018– ,A,41 min,9.5,"Action, Comedy, Drama","4,446",Not available
 Invincible,2021– ,18,45 min,7.7,"Animation, Action, Adventure","4,435",Not available
Mandela,2021,U,140 min,8.5,"Comedy, Drama","4,434",Not available
Chakravyuh: An Inspector Virkar Crime Thriller,2021– ,Not Rated,28 min,9.0,"Crime, Thriller","4,387",Not available
Panic,2021– ,16,Not available,6.4,"Adventure, Crime, Drama","4,362",Not available
Katla,2021– ,18,Not available,7.2,"Drama, Mystery, Sci-Fi","4,354",Not available
The Crew,II 2021– ,13,Not available,6.6,Comedy,"4,318",Not available
 Invincible,2021– ,18,45 min,8.0,"Animation, Action, Adventure","4,315",Not available
 Star Wars: The Bad Batch,2021– ,PG,70 min,9.0,"Animation, Action, Adventure","4,291",Not available
Nayattu,2021,UA,124 min,8.2,Thriller,"4,267",Not available
Ajeeb Daastaans,2021,18,142 min,6.7,"Drama, Romance","4,250",Not available
Land,2021,PG-13,89 min,6.6,Drama,"4,224",61
 One Piece: Wan pîsu,1999– ,7,24 min,9.4,"Animation, Action, Adventure","4,219",Not available
Biggie: I Got a Story to Tell,2021,18,97 min,6.9,"Documentary, Biography, Music","4,203",62
Call Me Kat,2021– ,21 min,21 min,5.0,Comedy,"4,150",Not available
 Aspirants,2021– ,Not Rated,38 min,9.4,Drama,"4,094",Not available
 The Family Man,2019– ,16+,Not available,9.5,"Action, Comedy, Drama","4,060",Not available
History of Swear Words,2021– ,18,124 min,6.4,"Documentary, Comedy","4,016",Not available
Sen Hiç Atesböcegi Gördün mü?,2021,113 min,113 min,6.2,"Comedy, Drama","4,007",Not available
Girl in the Basement,2021,88 min,88 min,6.4,"Crime, Thriller","4,003",Not available
Blue Miracle,2021,13,95 min,6.7,"Adventure, Biography, Drama","4,001",48
 The Family Man,2019– ,16+,Not available,9.2,"Action, Comedy, Drama","4,000",Not available
Justice Society: World War II,2021,PG-13,84 min,6.4,"Animation, Action, Adventure","3,908",Not available
Sardar Ka Grandson,2021,13,139 min,4.1,"Comedy, Drama, Romance","3,864",Not available
His Storyy,2021– ,A,Not available,9.7,Drama,"3,856",Not available
Nail Polish,2021,A,128 min,7.4,Drama,"3,814",Not available
The Underground Railroad,2021– ,18,593 min,7.3,"Drama, History, War","3,799",Not available
 The Family Man,2019– ,16+,Not available,9.6,"Action, Comedy, Drama","3,792",Not available
Sexify,2021– ,18,40 min,6.5,"Comedy, Drama","3,791",Not available
Top Class: The Life and Times of the Sierra Canyon Trailblazers,2021– ,30 min,30 min,9.7,"Documentary, Sport","3,755",Not available
I Am All Girls,2021,16,107 min,5.8,"Crime, Drama, Mystery","3,754",Not available
 The Family Man,2019– ,16+,Not available,9.3,"Action, Comedy, Drama","3,712",Not available
Chad,2021– ,30 min,30 min,2.7,Comedy,"3,687",Not available
 The Family Man,2019– ,16+,Not available,9.5,"Action, Comedy, Drama","3,614",Not available
Fear of Rain,2021,PG-13,109 min,5.9,"Drama, Horror, Thriller","3,594",Not available
The Virtuoso,2021,R,110 min,4.9,"Action, Crime, Thriller","3,588",24
Pogaru,2021,UA,160 min,5.7,Action,"3,577",Not available
 Mare of Easttown,2021,18,58 min,8.1,"Crime, Drama, Mystery","3,564",Not available
 The Family Man,2019– ,16+,Not available,9.3,"Action, Comedy, Drama","3,553",Not available
Sulthan,2021,UA,145 min,6.4,"Action, Drama","3,553",Not available
Batman: Soul of the Dragon,2021,R,83 min,6.1,"Animation, Action, Adventure","3,544",Not available
 One Piece: Wan pîsu,1999– ,7,24 min,9.7,"Animation, Action, Adventure","3,538",Not available
Us Again,2021,G,7 min,8.0,"Animation, Short, Drama","3,528",Not available
Siyavash,2021– ,50 min,50 min,6.2,Drama,"3,517",Not available
 Lucifer,2016– ,15,60 min,7.6,"Crime, Drama, Fantasy","3,517",Not available
Naandhi,2021,UA,146 min,8.4,"Crime, Drama, Thriller","3,489",Not available
 The Family Man,2019– ,16+,Not available,9.3,"Action, Comedy, Drama","3,487",Not available
Bombay Begums,2021– ,18,50 min,4.9,Drama,"3,486",Not available
Tiger,2021,192 min,192 min,7.8,"Documentary, Biography, Sport","3,484",Not available
Yasuke,2021– ,18,30 min,6.3,"Animation, Action, Adventure","3,480",Not available
 The Family Man,2019– ,16+,Not available,9.3,"Action, Comedy, Drama","3,464",Not available
Silence: Can You Hear It,2021,UA,136 min,6.6,"Crime, Thriller","3,430",Not available
The Mighty Ducks: Game Changers,2021– ,PG,Not available,7.5,"Comedy, Drama, Sport","3,425",Not available
Saina,2021,U,135 min,4.2,"Biography, Drama, Sport","3,413",Not available
Yuvarathnaa,2021,UA,161 min,6.6,"Action, Drama","3,403",Not available
X-Ray: Selected Satyajit Shorts,2021– ,16,65 min,7.7,"Crime, Drama, Thriller","3,401",Not available
Methagu,2021,"
Biography, History            ",Not available,9.8,"Biography, History","3,374",Not available
A Week Away,2021,13,94 min,5.7,"Drama, Family, Musical","3,360",32
Maara,2021,7,149 min,7.7,"Adventure, Drama, Mystery","3,358",Not available
Pelé,2021,13,108 min,7.0,"Documentary, Biography, Sport","3,348",61
Good on Paper,2021,18,92 min,5.6,"Comedy, Romance","3,343",54
Pacific Rim,2021– ,16,24 min,7.1,"Animation, Action, Adventure","3,329",Not available
The Minimalists: Less Is Now,2021,13,53 min,5.9,Documentary,"3,302",Not available
 Mare of Easttown,2021,18,58 min,8.7,"Crime, Drama, Mystery","3,278",Not available
 Jujutsu Kaisen,2020– ,16,24 min,9.6,"Animation, Action, Adventure","3,271",Not available
Horimiya,I 2021– ,24 min,24 min,8.3,"Animation, Comedy, Drama","3,243",Not available
Mushoku-tensei ~Isekai ittara honki dasu~,2021– ,24 min,24 min,8.4,"Animation, Adventure, Fantasy","3,222",Not available
Hello Charlie,2021,7,102 min,5.6,Comedy,"3,179",Not available
Why Did You Kill Me?,2021,16,83 min,5.6,"Documentary, Crime","3,178",Not available
 Superman and Lois,2021– ,64 min,64 min,8.7,"Action, Adventure, Drama","3,164",Not available
This Is a Robbery: The World's Biggest Art Heist,2021,16,210 min,6.5,"Documentary, Crime, History","3,159",Not available
Save Ralph,2021,4 min,4 min,8.6,"Animation, Short","3,155",Not available
Bloodlands,2021,222 min,222 min,6.5,"Crime, Drama, Thriller","3,152",Not available
Calls,2021– ,A,12 min,7.8,"Drama, Horror, Mystery","3,150",Not available
 Cobra Kai,2018– ,A,39 min,9.2,"Action, Comedy, Drama","3,136",Not available
Uppena,2021,UA,147 min,6.8,"Action, Drama, Romance","3,127",Not available
 Mare of Easttown,2021,18,64 min,9.1,"Crime, Drama, Mystery","3,123",Not available
Crashh,2021– ,18,23 min,9.0,Romance,"3,121",Not available
The Box,V 2021,94 min,94 min,8.8,"Drama, Music, Musical","3,120",Not available
In the Earth,2021,R,107 min,5.2,"Horror, Sci-Fi, Thriller","3,115",63
Runaway Lugaai,2021– ,Not Rated,25 min,8.0,"Comedy, Drama","3,108",Not available
Chakra,2021,UA,131 min,7.0,"Action, Crime, Thriller","3,088",Not available
Silk Road,2021,R,112 min,5.9,"Crime, Drama, Thriller","3,087",41
 Lupin,2021– ,16,47 min,7.9,"Action, Crime, Drama","3,069",Not available
Age of Samurai: Battle for Japan,2021– ,18,Not available,7.4,"Documentary, Action, Adventure","3,065",Not available
Konusanlar,2021– ,50 min,50 min,6.8,"Comedy, Talk-Show","3,044",Not available
Il Divin Codino,2021,13,91 min,6.1,"Biography, Drama, Sport","3,033",Not available
 Star Wars: The Bad Batch,2021– ,PG,31 min,7.5,"Animation, Action, Adventure","3,032",Not available
Tina,2021,118 min,118 min,8.1,"Documentary, Biography, History","2,958",81
